Date,Open,High,Low,Close,Symbol,Volume
2025-07-28,1.17614,1.17703,1.15855,1.15905,EURUSD,
2025-07-29,1.15899,1.15993,1.15194,1.15486,EURUSD,
2025-07-30,1.15481,1.15723,1.14012,1.14085,EURUSD,
2025-07-31,1.14085,1.14608,1.14063,1.14176,EURUSD,
2025-08-01,1.14171,1.15883,1.13917,1.15693,EURUSD,
2025-08-04,1.15917,1.15959,1.15503,1.15697,EURUSD,
2025-08-05,1.15697,1.15879,1.15281,1.15745,EURUSD,
2025-08-06,1.15748,1.16686,1.15649,1.16583,EURUSD,
2025-08-07,1.16583,1.16984,1.16113,1.16654,EURUSD,
2025-08-08,1.16659,1.16791,1.16295,1.16427,EURUSD,
2025-08-11,1.16465,1.16756,1.15904,1.16159,EURUSD,
2025-08-12,1.16172,1.16971,1.15989,1.16744,EURUSD,
2025-08-13,1.16748,1.17303,1.16708,1.17057,EURUSD,
2025-08-14,1.17057,1.17152,1.16311,1.16513,EURUSD,
2025-08-15,1.16511,1.17152,1.16464,1.17011,EURUSD,
2025-08-18,1.17142,1.17144,1.16562,1.16622,EURUSD,
2025-08-19,1.16618,1.1693,1.16402,1.16475,EURUSD,
2025-08-20,1.16474,1.16735,1.16223,1.16525,EURUSD,
2025-08-21,1.16528,1.16625,1.16015,1.1608,EURUSD,
2025-08-22,1.1607,1.17428,1.15832,1.17202,EURUSD,
2025-08-25,1.17228,1.17236,1.16032,1.16201,EURUSD,
2025-08-26,1.16196,1.16653,1.16028,1.16453,EURUSD,
2025-08-27,1.1644,1.1648,1.15747,1.16374,EURUSD,
2025-08-28,1.16381,1.16975,1.16296,1.16793,EURUSD,
2025-08-29,1.16794,1.17086,1.16518,1.16985,EURUSD,
2025-09-01,1.16896,1.17361,1.16869,1.17094,EURUSD,
2025-09-02,1.17088,1.17183,1.16131,1.16416,EURUSD,
2025-09-03,1.16414,1.1682,1.16086,1.16612,EURUSD,
2025-09-04,1.16613,1.16692,1.16304,1.16494,EURUSD,
2025-09-05,1.16499,1.17596,1.16487,1.17181,EURUSD,
2025-09-08,1.17192,1.17655,1.17039,1.17615,EURUSD,
2025-09-09,1.17626,1.17802,1.1704,1.17114,EURUSD,
2025-09-10,1.17112,1.17302,1.16842,1.17001,EURUSD,
2025-09-11,1.17008,1.17457,1.1665,1.17349,EURUSD,
2025-09-12,1.17356,1.17479,1.17017,1.17363,EURUSD,
2025-09-15,1.17307,1.17746,1.17164,1.17659,EURUSD,
2025-09-16,1.17656,1.18782,1.17576,1.18642,EURUSD,
2025-09-17,1.18653,1.19185,1.18082,1.18155,EURUSD,
2025-09-18,1.18165,1.18484,1.17505,1.17866,EURUSD,
2025-09-19,1.17874,1.17923,1.17289,1.17478,EURUSD,
2025-09-22,1.17466,1.18037,1.17265,1.17997,EURUSD,
2025-09-23,1.1802,1.18201,1.17805,1.18145,EURUSD,
2025-09-24,1.18168,1.18191,1.17286,1.17395,EURUSD,
2025-09-25,1.17395,1.1754,1.16462,1.16613,EURUSD,
2025-09-26,1.16627,1.1706,1.16582,1.17058,EURUSD,
2025-09-29,1.17046,1.17541,1.17025,1.17269,EURUSD,
2025-09-30,1.17265,1.17616,1.17125,1.17368,EURUSD,
